
=== app crash log started at 2026-05-16 05:44:12.692 ===
Command: logcat -b crash -b main -b system -b events -v threadtime AndroidRuntime:E ActivityManager:W ActivityTaskManager:W am_crash:I am_anr:I wm_crash:I DEBUG:E libc:F Process:E Pine:E PineEnhances:E PineXposed:E Xposed:E LSPosed:E PixelParts:E *:S
--------- beginning of crash
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:569)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:929)
05-16 05:36:38.651  1560  4177 W ActivityTaskManager:   Not force finishing home activity com.google.android.apps.nexuslauncher/.NexusLauncherActivity
05-16 05:36:38.693  1560  2004 W ActivityManager: pid 1560 system sent binder code 1 with flags 1 and got error -32
05-16 05:36:38.696  1560  2004 W ActivityManager: pid 1560 system sent binder code 13 with flags 1 and got error -32
05-16 05:36:38.698  1560  2004 W ActivityManager: pid 1560 system sent binder code 55 with flags 1 and got error -32
05-16 05:36:38.700  1560 15953 W ActivityManager: pid 2182 com.android.systemui sent binder code 2 with flags 1 and got error -32
05-16 05:36:38.704  1560  4435 W ActivityManager: Scheduling restart of crashed service com.google.android.apps.nexuslauncher/com.android.launcher3.notification.NotificationListener in 10000ms for connection
05-16 05:36:38.704  1560  4435 W ActivityManager: Scheduling restart of crashed service com.google.android.apps.nexuslauncher/com.android.quickstep.TouchInteractionService in 30000ms for connection
05-16 05:36:38.761  1560  1615 W ActivityManager: setHasOverlayUi called on unknown pid: 6306
05-16 05:36:38.772  1560  2440 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:36:38.772  1560  2440 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@8fe1f13
05-16 05:36:38.786  1560 16447 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.measurement.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:36:38.787  1560 16447 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@6e8567c
05-16 05:36:40.793  1560 16447 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.measurement.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:36:40.794  1560 16447 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@370b6e0
05-16 05:36:40.806  1560  4348 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:36:40.806  1560  4348 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@ff64d99
05-16 05:36:42.767  1560 16447 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:36:42.767  1560 16447 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@d8b16d1
05-16 05:36:43.709  1560  1613 W ActivityTaskManager: getAssistContextExtras failed: timeout retrieving from ActivityRecord{161264880 u0 org.telegram.messenger/.DefaultIcon t3980}
05-16 05:36:44.207  1560 15637 W ActivityTaskManager: callingPackage for (uid=-1, pid=-1) has no WPC
